Iteracion_mejor_solucion;tiempo;ruta;coste;numero_vehiculos_usados
31;0.012;0 20 24 21 22 10 11 9 8 7 5 3 6 1 4 2 0 0 23 17 15 19 16 14 18 12 13 0 0 25 0 ;240;3
Numero_iteracion;tiempo;ruta;coste;numero_vehiculos_usados
0;0.026;0 21 22 23 24 10 7 3 1 2 4 5 9 6 0 0 25 20 13 17 19 15 16 0 0 18 14 11 12 8 0 ;320;3
1;0.026;0 22 25 23 21 20 10 9 8 7 5 4 1 6 0 0 24 11 2 13 18 19 17 14 16 0 0 12 3 15 0 ;350;3
2;0.018;0 22 21 20 24 10 11 6 4 7 3 8 5 9 13 0 0 25 23 1 15 19 16 12 18 0 0 2 17 14 0 ;351;3
3;0.012;0 20 24 22 21 23 25 10 9 11 8 4 7 0 0 1 3 5 6 12 14 16 15 13 0 0 2 19 18 17 0 ;269;3
4;0.011;0 22 21 23 24 20 7 5 3 1 4 2 6 11 8 0 0 25 9 12 14 16 13 18 19 10 15 0 0 17 0 ;324;3
5;0.011;0 22 20 25 23 21 7 3 1 2 5 6 0 0 4 8 10 13 17 15 16 0 0 9 14 19 11 24 18 12 0 ;352;3
6;0.011;0 20 21 22 25 23 10 11 6 8 9 3 5 1 0 0 7 13 18 19 15 14 17 16 0 0 24 12 2 4 0 ;292;3
7;0.012;0 22 25 21 20 10 7 5 1 4 3 2 0 0 24 23 9 6 13 17 15 16 0 0 8 12 14 18 11 19 0 ;333;3
8;0.011;0 20 21 22 25 10 7 4 1 5 6 9 8 0 0 23 11 2 12 15 19 16 17 14 13 0 0 3 24 18 0 ;322;3
9;0.011;0 22 21 25 24 20 7 5 1 3 8 6 0 0 23 10 11 2 4 12 14 15 13 19 18 0 0 17 9 16 0 ;327;3
10;0.011;0 22 25 21 20 23 11 10 8 9 6 7 0 0 5 4 2 3 13 15 16 0 0 24 1 14 17 18 12 19 0 ;321;3
11;0.011;0 22 21 23 25 10 8 7 5 4 1 3 6 0 0 24 20 2 9 13 15 19 17 16 0 0 18 14 11 12 0 ;340;3
12;0.011;0 22 21 23 24 20 7 5 1 2 4 6 3 9 10 0 0 11 17 13 15 19 18 12 8 16 0 0 14 25 0 ;338;3
13;0.011;0 21 20 22 23 24 10 11 6 8 7 3 1 4 9 13 0 0 2 5 25 17 19 15 12 18 0 0 16 14 0 ;337;3
14;0.011;0 20 22 23 24 10 8 7 3 1 5 6 11 4 21 0 0 25 9 12 14 19 18 15 17 16 0 0 2 13 0 ;315;3
15;0.011;0 21 23 20 24 10 7 3 1 5 6 9 11 2 0 0 22 8 13 15 14 19 18 16 0 0 25 4 17 12 0 ;336;3
16;0.011;0 22 25 23 24 10 7 5 1 3 4 8 11 6 0 0 21 2 13 18 15 14 12 19 9 16 0 0 17 20 0 ;343;3
17;0.011;0 22 20 25 23 10 8 6 7 5 3 1 9 4 0 0 21 2 13 15 16 12 14 17 0 0 18 11 19 24 0 ;328;3
18;0.011;0 22 20 21 23 25 10 8 9 11 6 3 5 4 0 0 7 13 15 14 19 17 18 24 12 2 0 0 16 1 0 ;342;3
19;0.011;0 21 20 24 22 10 8 6 4 3 1 2 7 0 0 23 5 25 9 12 16 19 17 18 15 0 0 13 14 11 0 ;313;3
20;0.012;0 22 25 24 20 23 11 9 6 7 3 1 5 8 0 0 10 21 4 2 13 17 15 16 0 0 12 14 18 19 0 ;315;3
21;0.011;0 20 22 25 23 21 7 3 5 4 1 2 0 0 24 11 10 6 13 15 14 16 0 0 8 12 18 17 9 19 0 ;331;3
22;0.011;0 22 20 24 25 10 7 3 1 4 6 9 11 2 0 0 5 21 23 17 15 19 13 18 14 8 0 0 16 12 0 ;312;3
23;0.011;0 20 22 25 24 21 7 4 1 2 5 6 0 0 3 8 11 9 10 13 18 15 14 16 0 0 17 19 23 12 0 ;322;3
24;0.011;0 20 24 25 23 22 10 11 6 9 7 5 3 8 0 0 21 2 1 13 18 19 16 15 0 0 12 17 4 14 0 ;341;3
25;0.011;0 22 25 21 24 20 10 9 6 4 3 7 8 0 0 23 11 5 2 1 15 13 19 16 0 0 17 14 18 12 0 ;323;3
26;0.012;0 21 22 25 24 20 7 3 4 1 6 8 0 0 10 9 11 13 17 19 18 16 15 0 0 5 2 23 12 14 0 ;295;3
27;0.011;0 20 22 25 23 24 21 10 8 7 3 5 6 0 0 11 4 1 13 15 19 18 17 12 14 2 0 0 16 9 0 ;298;3
28;0.011;0 22 21 23 25 10 8 9 6 7 4 3 5 0 0 24 11 13 18 15 14 19 12 16 0 0 2 20 17 1 0 ;326;3
29;0.011;0 22 25 24 20 23 11 9 8 7 3 5 1 6 0 0 10 2 4 21 13 18 15 14 19 12 0 0 16 17 0 ;319;3
30;0.011;0 20 21 22 25 23 11 10 8 6 9 3 7 0 0 4 2 1 12 15 19 18 16 0 0 24 13 17 14 5 0 ;288;3
31;0.012;0 20 24 21 22 10 11 9 8 7 5 3 6 1 4 2 0 0 23 17 15 19 16 14 18 12 13 0 0 25 0 ;240;3
32;0.012;0 22 21 25 20 24 11 8 9 4 7 6 0 0 5 3 2 1 23 13 15 16 0 0 18 19 17 10 12 14 0 ;330;3
33;0.011;0 20 22 23 25 21 7 3 5 6 4 1 8 0 0 24 11 9 10 13 15 16 14 17 18 0 0 12 19 2 0 ;303;3
34;0.012;0 20 22 23 24 25 10 11 6 8 7 5 4 2 0 0 21 9 13 18 15 16 19 14 12 0 0 17 3 1 0 ;287;3
35;0.012;0 21 22 25 24 10 11 6 9 8 4 1 2 0 0 20 5 7 3 23 17 15 13 18 14 19 12 0 0 16 0 ;319;3
36;0.012;0 21 23 20 22 25 10 8 7 5 3 4 1 2 0 0 6 9 11 15 16 14 12 13 0 0 24 17 18 19 0 ;261;3
37;0.011;0 22 20 25 23 24 21 7 5 4 6 9 10 8 0 0 11 3 13 15 16 12 14 17 18 0 0 19 2 1 0 ;297;3
38;0.012;0 20 22 23 25 24 10 8 7 3 1 4 2 0 0 21 9 5 11 17 18 19 15 13 14 6 0 0 12 16 0 ;297;3
39;0.012;0 20 22 21 25 24 11 10 8 6 4 7 0 0 3 5 9 13 15 16 12 14 17 0 0 2 1 18 23 19 0 ;320;3
40;0.012;0 21 22 25 23 20 24 11 10 9 4 6 8 0 0 7 5 2 1 13 15 16 0 0 18 14 17 12 19 3 0 ;315;3
41;0.011;0 22 25 24 23 20 21 5 4 7 8 11 6 0 0 3 1 9 13 17 18 15 14 12 19 10 16 0 0 2 0 ;291;3
