Iteracion mejor solucion;tiempo;ruta;coste
68;0;0 22 25 23 24 21 20 5 3 1 6 8 11 7 9 10 13 18 17 2 12 14 15 19 16 4 ;319
Numero_iteracion;tiempo;ruta;coste
0;0.001;0 21 22 23 24 10 7 20 11 8 9 4 1 25 3 5 13 17 19 6 2 14 16 15 18 12 ;408
1;0;0 22 25 23 21 20 10 7 3 4 1 5 2 6 8 9 13 15 14 11 12 17 18 24 16 19 ;436
2;0.001;0 22 21 20 24 10 11 5 3 7 4 2 6 8 23 9 1 13 18 17 16 12 19 15 25 14 ;424
3;0.001;0 20 24 22 21 23 25 5 4 7 3 8 11 6 1 2 9 12 14 10 13 15 16 18 17 19 ;357
4;0;0 22 21 23 24 20 7 5 3 1 4 2 6 8 11 10 13 18 17 25 19 14 12 9 16 15 ;409
5;0.001;0 22 20 25 23 21 7 24 8 9 4 6 11 5 2 10 3 13 17 15 14 12 18 1 16 19 ;467
6;0;0 20 21 22 25 23 10 24 8 6 4 1 2 3 7 11 13 15 16 9 17 18 19 5 14 12 ;430
7;0.001;0 22 25 21 20 10 7 24 8 6 4 5 1 23 9 3 13 17 15 11 2 14 16 19 12 18 ;417
8;0;0 20 21 22 25 10 7 5 1 3 6 8 9 23 11 2 12 15 19 13 14 18 17 4 24 16 ;422
9;0.001;0 22 21 25 24 20 7 5 1 3 8 6 4 23 10 2 9 12 14 13 18 15 16 17 11 19 ;392
10;0;0 22 25 21 20 23 11 24 10 8 9 4 6 7 1 3 2 13 17 5 15 14 19 18 12 16 ;412
11;0.001;0 22 21 23 25 10 8 5 7 4 1 3 6 24 20 2 9 13 15 17 19 16 12 14 11 18 ;385
12;0;0 22 21 23 24 20 7 5 1 2 4 6 3 10 9 13 18 19 15 8 11 25 14 17 12 16 ;417
13;0.001;0 21 20 22 23 24 10 25 8 6 9 11 3 7 1 5 13 17 18 4 15 16 19 2 14 12 ;446
14;0;0 20 22 23 24 10 8 5 3 1 6 9 7 25 13 17 18 16 14 11 2 12 4 15 19 21 ;375
15;0.001;0 21 23 20 24 10 7 22 8 11 6 3 4 1 2 9 13 15 14 17 18 16 12 19 5 25 ;361
16;0;0 22 25 23 24 10 7 21 11 6 4 5 8 3 2 13 15 14 19 9 12 17 20 16 1 18 ;465
17;0.001;0 22 20 25 23 10 8 24 7 5 3 1 6 4 2 21 9 13 17 18 19 16 15 12 11 14 ;422
